1,月木游乐园管理员,过山车,好玩
2,伟大祖国万岁,过山车,不错不错
5,月木游乐园管理员,旋转木马,不错不错
6,月木游乐园管理员,摩天轮,还可以
7,月木游乐园管理员,碰碰车,还行吧
8,月木游乐园管理员,海盗船,体验一般
9,月木游乐园管理员,飞椅,我来了
10,月木游乐园管理员,旋转飞艇,欢迎来玩
11,月木游乐园管理员,跳楼机,吓死人
12,月木游乐园管理员,水上漂流,来吧
13,月木游乐园管理员,空中吊椅,good
14,月木游乐园管理员,旋转飞艇,你好
15,我的家我做主,摩天轮,good
16,我的家我做主,碰碰车,一般般
17,我的家我做主,跳楼机,刺激
18,我的家我做主,水上漂流,come on
19,我的家我做主,旋转木马,还好吧
20,今天是我的生日,旋转木马,"可以可以
"
23,今天是你的,过山车,还不错
27,今天是你的,碰碰车,"还可以
"
32,今天是你的,跳楼机二号,啥东西
35,今天是你的,过山车,还可以
42,月木游乐园管理员,过山车,"你好呀
"
45,今天天气有点热,过山车,"过山车挺不错
"
46,今天天气有点热,海盗船,我觉得好好
47,好无聊啊吖,过山车,"不错不错吧
"
48,好无聊啊吖,过山车,还可以
